iso_code,name,state,country,zone
25871,Villagomez,CUN,CO,6
25873,Villapinzon,CUN,CO,6
25875,Villeta,CUN,CO,6
25878,Viota,CUN,CO,6
25885,Yacopi,CUN,CO,6
25898,Zipacon,CUN,CO,6
25899,Zipaquira,CUN,CO,6
11001,"Bogota, D.C.",DC,CO,6
94001,Inirida,GUA,CO,6
94343,Barranco Minas,GUA,CO,6
94663,Mapiripana,GUA,CO,6
94883,San Felipe,GUA,CO,6
94884,Puerto Colombia,GUA,CO,6
94885,La Guadalupe,GUA,CO,6
94886,Cacahual,GUA,CO,6
94887,Pana Pana,GUA,CO,6
94888,Morichal,GUA,CO,6
95001,San Jose Del Guaviare,GUV,CO,6
95015,Calamar,GUV,CO,6
95025,El Retorno,GUV,CO,6
95200,Miraflores,GUV,CO,6
41001,Neiva,HUI,CO,6
41006,Acevedo,HUI,CO,6
41013,Agrado,HUI,CO,6
41016,Aipe,HUI,CO,6
41020,Algeciras,HUI,CO,6
41026,Altamira,HUI,CO,6
41078,Baraya,HUI,CO,6
41132,Campoalegre,HUI,CO,6
41206,Colombia,HUI,CO,6
41244,Elias,HUI,CO,6
41298,Garzon,HUI,CO,6
41306,Gigante,HUI,CO,6
41319,Guadalupe,HUI,CO,6
41349,Hobo,HUI,CO,6
41357,Iquira,HUI,CO,6
41359,Isnos,HUI,CO,6
41378,La Argentina,HUI,CO,6
41396,La Plata,HUI,CO,6
41483,Nataga,HUI,CO,6
41503,Oporapa,HUI,CO,6
41518,Paicol,HUI,CO,6
41524,Palermo,HUI,CO,6
41530,Palestina,HUI,CO,6
41548,Pital,HUI,CO,6
41551,Pitalito,HUI,CO,6
41615,Rivera,HUI,CO,6
41660,Saladoblanco,HUI,CO,6
41668,San Agustin,HUI,CO,6
41676,Santa Maria,HUI,CO,6
41770,Suaza,HUI,CO,6
41791,Tarqui,HUI,CO,6
41797,Tesalia,HUI,CO,6
41799,Tello,HUI,CO,6
41801,Teruel,HUI,CO,6
41807,Timana,HUI,CO,6
